element_id,element_name,scale_id
1.A.1.a.1,Oral Comprehension,IM
1.A.1.a.1,Oral Comprehension,LV
1.A.1.a.2,Written Comprehension,IM
1.A.1.a.2,Written Comprehension,LV
1.A.1.a.3,Oral Expression,IM
1.A.1.a.3,Oral Expression,LV
1.A.1.a.4,Written Expression,IM
1.A.1.a.4,Written Expression,LV
1.A.1.b.1,Fluency of Ideas,IM
1.A.1.b.1,Fluency of Ideas,LV
1.A.1.b.2,Originality,IM
1.A.1.b.2,Originality,LV
1.A.1.b.3,Problem Sensitivity,IM
1.A.1.b.3,Problem Sensitivity,LV
1.A.1.b.4,Deductive Reasoning,IM
1.A.1.b.4,Deductive Reasoning,LV
1.A.1.b.5,Inductive Reasoning,IM
1.A.1.b.5,Inductive Reasoning,LV
1.A.1.b.6,Information Ordering,IM
1.A.1.b.6,Information Ordering,LV
1.A.1.b.7,Category Flexibility,IM
1.A.1.b.7,Category Flexibility,LV
1.A.1.c.1,Mathematical Reasoning,IM
1.A.1.c.1,Mathematical Reasoning,LV
1.A.1.c.2,Number Facility,IM
1.A.1.c.2,Number Facility,LV
1.A.1.d.1,Memorization,IM
1.A.1.d.1,Memorization,LV
1.A.1.e.1,Speed of Closure,IM
1.A.1.e.1,Speed of Closure,LV
1.A.1.e.2,Flexibility of Closure,IM
1.A.1.e.2,Flexibility of Closure,LV
1.A.1.e.3,Perceptual Speed,IM
1.A.1.e.3,Perceptual Speed,LV
1.A.1.f.1,Spatial Orientation,IM
1.A.1.f.1,Spatial Orientation,LV
1.A.1.f.2,Visualization,IM
1.A.1.f.2,Visualization,LV
1.A.1.g.1,Selective Attention,IM
1.A.1.g.1,Selective Attention,LV
1.A.1.g.2,Time Sharing,IM
1.A.1.g.2,Time Sharing,LV
1.A.2.a.1,Arm-Hand Steadiness,IM
1.A.2.a.1,Arm-Hand Steadiness,LV
1.A.2.a.2,Manual Dexterity,IM
1.A.2.a.2,Manual Dexterity,LV
1.A.2.a.3,Finger Dexterity,IM
1.A.2.a.3,Finger Dexterity,LV
1.A.2.b.1,Control Precision,IM
1.A.2.b.1,Control Precision,LV
1.A.2.b.2,Multilimb Coordination,IM
1.A.2.b.2,Multilimb Coordination,LV
1.A.2.b.3,Response Orientation,IM
1.A.2.b.3,Response Orientation,LV
1.A.2.b.4,Rate Control,IM
1.A.2.b.4,Rate Control,LV
1.A.2.c.1,Reaction Time,IM
1.A.2.c.1,Reaction Time,LV
1.A.2.c.2,Wrist-Finger Speed,IM
1.A.2.c.2,Wrist-Finger Speed,LV
1.A.2.c.3,Speed of Limb Movement,IM
1.A.2.c.3,Speed of Limb Movement,LV
1.A.3.a.1,Static Strength,IM
1.A.3.a.1,Static Strength,LV
1.A.3.a.2,Explosive Strength,IM
1.A.3.a.2,Explosive Strength,LV
1.A.3.a.3,Dynamic Strength,IM
1.A.3.a.3,Dynamic Strength,LV
1.A.3.a.4,Trunk Strength,IM
1.A.3.a.4,Trunk Strength,LV
1.A.3.b.1,Stamina,IM
1.A.3.b.1,Stamina,LV
1.A.3.c.1,Extent Flexibility,IM
1.A.3.c.1,Extent Flexibility,LV
1.A.3.c.2,Dynamic Flexibility,IM
1.A.3.c.2,Dynamic Flexibility,LV
1.A.3.c.3,Gross Body Coordination,IM
1.A.3.c.3,Gross Body Coordination,LV
1.A.3.c.4,Gross Body Equilibrium,IM
1.A.3.c.4,Gross Body Equilibrium,LV
1.A.4.a.1,Near Vision,IM
1.A.4.a.1,Near Vision,LV
1.A.4.a.2,Far Vision,IM
1.A.4.a.2,Far Vision,LV
1.A.4.a.3,Visual Color Discrimination,IM
1.A.4.a.3,Visual Color Discrimination,LV
1.A.4.a.4,Night Vision,IM
1.A.4.a.4,Night Vision,LV
1.A.4.a.5,Peripheral Vision,IM
1.A.4.a.5,Peripheral Vision,LV
1.A.4.a.6,Depth Perception,IM
1.A.4.a.6,Depth Perception,LV
1.A.4.a.7,Glare Sensitivity,IM
1.A.4.a.7,Glare Sensitivity,LV
1.A.4.b.1,Hearing Sensitivity,IM
1.A.4.b.1,Hearing Sensitivity,LV
1.A.4.b.2,Auditory Attention,IM
1.A.4.b.2,Auditory Attention,LV
1.A.4.b.3,Sound Localization,IM
1.A.4.b.3,Sound Localization,LV
1.A.4.b.4,Speech Recognition,IM
1.A.4.b.4,Speech Recognition,LV
1.A.4.b.5,Speech Clarity,IM
1.A.4.b.5,Speech Clarity,LV
