Scale ID,Scale Name,Minimum,Maximum,Type
AO,Automation,1,5,Ordinal
CF,Frequency,1,5,Ordinal
CN,Amount of Contact,1,5,Ordinal
CT,Context,1,3,Interval
CTP,Context (Categories 1-3),0,100,Interval
CX,Context,1,5,Interval
CXP,Context (Categories 1-5),0,100,Interval
DR,Distinctiveness Rank,0,10,Ordinal
EX,Extent,1,7,Ordinal
FM,Amount of Freedom,1,5,Ordinal
FT,Frequency of Task (Categories 1-7),0,100,Interval
HW,Hours Per Week,1,3,Ordinal
IJ,Importance,1,5,Ordinal
IM,Importance,1,5,Ordinal
IP,Impact of Decisions,1,5,Ordinal
LC,Level of Competition,1,5,Ordinal
LV,Level,0,7,Interval
OI,Occupational Interests,1,7,Ordinal
OJ,On-The-Job Training (Categories 1-9),0,100,Interval
PT,On-Site Or In-Plant Training (Categories 1-9),0,100,Interval
PX,Proximity,1,5,Ordinal
RE,Responsibility,1,5,Ordinal
RL,Required Level Of Education (Categories 1-12),0,100,Interval
RT,Relevance of Task,0,100,Interval
RW,Related Work Experience (Categories 1-11),0,100,Interval
SR,How Serious,1,5,Ordinal
TI,% Time,1,5,Ordinal
WI,Work Styles Impact,-3,3,Interval
WS,Work Schedule,1,3,Ordinal
