Element ID,Element Name,Scale ID,Scale Name
1.D.1.a,Innovation,DR,Distinctiveness Rank
1.D.1.a,Innovation,WI,Work Styles Impact
1.D.1.b,Achievement Orientation,DR,Distinctiveness Rank
1.D.1.b,Achievement Orientation,WI,Work Styles Impact
1.D.1.c,Intellectual Curiosity,DR,Distinctiveness Rank
1.D.1.c,Intellectual Curiosity,WI,Work Styles Impact
1.D.1.d,Tolerance for Ambiguity,DR,Distinctiveness Rank
1.D.1.d,Tolerance for Ambiguity,WI,Work Styles Impact
1.D.1.e,Initiative,DR,Distinctiveness Rank
1.D.1.e,Initiative,WI,Work Styles Impact
1.D.1.f,Adaptability,DR,Distinctiveness Rank
1.D.1.f,Adaptability,WI,Work Styles Impact
1.D.1.g,Self-Confidence,DR,Distinctiveness Rank
1.D.1.g,Self-Confidence,WI,Work Styles Impact
1.D.1.h,Perseverance,DR,Distinctiveness Rank
1.D.1.h,Perseverance,WI,Work Styles Impact
1.D.1.i,Leadership Orientation,DR,Distinctiveness Rank
1.D.1.i,Leadership Orientation,WI,Work Styles Impact
1.D.2.a,Humility,DR,Distinctiveness Rank
1.D.2.a,Humility,WI,Work Styles Impact
1.D.2.b,Sincerity,DR,Distinctiveness Rank
1.D.2.b,Sincerity,WI,Work Styles Impact
1.D.2.c,Empathy,DR,Distinctiveness Rank
1.D.2.c,Empathy,WI,Work Styles Impact
1.D.2.d,Cooperation,DR,Distinctiveness Rank
1.D.2.d,Cooperation,WI,Work Styles Impact
1.D.2.e,Optimism,DR,Distinctiveness Rank
1.D.2.e,Optimism,WI,Work Styles Impact
1.D.2.f,Social Orientation,DR,Distinctiveness Rank
1.D.2.f,Social Orientation,WI,Work Styles Impact
1.D.3.a,Cautiousness,DR,Distinctiveness Rank
1.D.3.a,Cautiousness,WI,Work Styles Impact
1.D.3.b,Attention to Detail,DR,Distinctiveness Rank
1.D.3.b,Attention to Detail,WI,Work Styles Impact
1.D.3.c,Dependability,DR,Distinctiveness Rank
1.D.3.c,Dependability,WI,Work Styles Impact
1.D.3.d,Integrity,DR,Distinctiveness Rank
1.D.3.d,Integrity,WI,Work Styles Impact
1.D.4.a,Stress Tolerance,DR,Distinctiveness Rank
1.D.4.a,Stress Tolerance,WI,Work Styles Impact
1.D.4.b,Self-Control,DR,Distinctiveness Rank
1.D.4.b,Self-Control,WI,Work Styles Impact
